BEIJING_HR	    北京3公里区域模式
RAINC06_UNCLIPPED   6小时对流性降水(未裁剪)
RAINC12             12小时对流性降水
RAINC12_UNCLIPPED   12小时对流性降水(未裁剪)
RAINC24             24小时对流性降水
RAINC24_UNCLIPPED   24小时对流性降水(未裁剪)
RBOAT_1H	    全球海洋海面观测1小时填图
RBOUY_1H	    浮标观测1小时填图
RDIV		    相对散度
REFLECTIVITY	    反射率
RGWST_1H	    1小时沿海自动站填图
RH                  相对湿度
RH_ALL_STATION	    国家站区域站1小时相对湿度
RH_NATIONAL	    国家站1小时相对湿度
RICHARDSON_NUMBER   理查森数
ROCEA_1H	    全球海洋深水观测1小时填图
ROUGHNESS	    粗糙度
RSHIP_1H	    中国船舶观测1小时填图
RSR		    反射短波辐射
RTOFS		    NCEP全球海洋环境模式
RVOR		    相对涡度
SAND		    沙尘
SDEN		    雪密度
SEA_SURF_SALNITY    海表盐度
SEA_WATER_POTENTIAL_DENSITY      海水位密度
SENSIBLE_HEAT_NET_FLUX  感热净通量
SHOWALTER_INDEX     沙氏指数
SHWW		    有效风浪高度
SHWW_UNCLIPPED	    有效风浪高度(未裁剪)
SIGNIFICANT_HEIGHT_OF_COMBINED_WIND_WAVES_AND_SWELL	有效波高(包含风浪和涌浪)
SIGNIFICANT_HEIGHT_OF_SWELL_WAVES	涌浪有效波高
SIGNIFICANT_HEIGHT_OF_WIND_WAVES	风浪有效波高
SKINT               地表温度
SNC		    积雪覆盖
SNOD                积雪深度
SNOW                降雪
SNOW_DEPTH_NATIONAL 国家站积雪深度
SNOW_MELT	    降雪
SNOW_MIXING_RATIO   雪水混合比
SNOW01		    1小时降雪
SNOW03              3小时降雪
SNOW03_UNCLIPPED    3小时降雪(未裁剪)
SNOW06              6小时降雪
SNOW06_UNCLIPPED    6小时降雪(未裁剪)
SNOW12              12小时降雪
SNOW12_UNCLIPPED    12小时降雪(未裁剪)
SNOW24              24小时降雪
SNOW24_UNCLIPPED    24小时降雪(未裁剪)
SOIL_TEMPERATURE    土壤温度
